id,age,gender,race_ethnicity,socio_economic_status,urban_rural,parental_involvement,hobbies,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1,15,male,Asian,middle,urban,medium,"basketball,videogames,coding",1,0,1,1,0
2,13,female,Hispanic,lower,rural,high,"reading,painting,volleyball",0,1,0,1,0
3,10,male,African American,middle,urban,medium,"soccer,drawing,playingguitar",1,0,1,0,1
4,17,female,White,upper,urban,high,"ballet,photography,volunteering",1,1,1,1,0
5,12,male,Hispanic,lower,rural,low,"videogames,skateboarding,drawing",0,0,1,0,1
6,14,female,Native American,middle,rural,medium,"reading,horseriding,crafts",1,1,0,1,0
7,16,male,White,upper,urban,high,"swimming,coding,playingthepiano",1,1,0,0,1
8,11,female,African American,middle,urban,high,"dancing,reading,painting",1,0,1,1,0
9,18,male,Asian,upper,urban,medium,"chess,tennis,debateclub",1,1,0,0,1
10,13,female,White,lower,rural,low,"sketching,soccer,playingguitar",1,0,1,0,1
11,9,male,Hispanic,middle,urban,high,"legobuilding,cycling,reading",1,1,0,1,0
12,19,female,Multiracial,upper,urban,medium,"photography,volunteering,yoga",1,1,0,0,1
13,16,male,African American,middle,urban,low,"basketball,videogames,rapmusic",1,0,1,0,1
14,12,female,Native American,lower,rural,medium,"reading,naturewalks,crafts",1,1,0,1,0
15,14,male,White,middle,urban,medium,"coding,soccer,videogames",1,0,1,1,0
16,10,female,Hispanic,lower,urban,high,"dancing,drawing,reading",1,1,1,1,0
17,18,male,Asian,upper,urban,medium,"swimming,chess,photography",1,1,0,0,1
18,12,female,African American,middle,urban,high,"singing,baking,basketball",1,1,1,1,0
19,15,male,White,middle,rural,medium,"fishing,videogames,woodworking",1,0,1,1,0
20,13,female,Multiracial,lower,urban,high,"writing,dancing,volleyball",1,1,1,1,0
21,17,male,Hispanic,upper,urban,medium,"soccer,coding,painting",1,1,0,1,0
22,9,female,White,lower,urban,medium,"drawing,playingpiano,horseriding",1,0,1,1,1
23,16,male,African American,middle,urban,low,"basketball,videogames,rapmusic",0,1,1,0,1
24,11,female,Asian,upper,urban,high,"ballet,reading,piano",1,1,0,1,0
25,14,male,Hispanic,middle,rural,medium,"skateboarding,videogames,basketball",0,0,1,0,1
